C alpha,L alpha,GE alpha,SW alpha,Q alpha,C beta,L beta,GE beta,SW beta,Q beta,C delta,L delta,GE delta,SW delta,Q delta,C gamma,L gamma,GE gamma,SW gamma,Q gamma,C theta,L theta,GE theta,SW theta,Q theta,Class
0.030516,1.7455,0.63369,0.9963,0.15597,0.010959,1.6946,0.64898,0.94985,0.13546,0.030545,1.7105,0.64631,0.96801,0.15587,0.069268,1.6902,0.64971,0.98901,0.12387,0.0448,1.7395,0.64153,1.1238,0.21654,3
0.026041,1.6919,0.64944,0.98231,0.19206,0.016839,1.6901,0.64974,1.0262,0.15241,0.02865,1.7258,0.64374,0.79742,0.1397,0.076563,1.689,0.64991,1.0333,0.14956,0.031786,1.6973,0.64853,1.1728,0.23861,3
0.025466,1.6893,0.64987,1.0505,0.19535,0.015686,1.6922,0.64938,1.0052,0.14729,0.049255,1.6916,0.64948,1.0182,0.15721,0.087786,1.6902,0.64971,1.0185,0.15171,0.035597,1.6964,0.64869,0.88781,0.16775,3
0.039847,1.6949,0.64893,1.0738,0.19011,0.014912,1.6891,0.6499,1.0128,0.1522,0.066477,1.7006,0.64055,0.93929,0.14657,0.086124,1.6889,0.64992,0.99191,0.14046,0.094463,1.6972,0.64855,1.0153,0.16346,3
0.021527,1.6957,0.64879,0.93896,0.1783,0.030844,1.709,0.63916,0.97013,0.10541,0.039906,1.7114,0.64616,0.9879,0.16604,0.079868,1.6893,0.64986,1.0363,0.14442,0.038621,1.6922,0.64938,1.0266,0.17444,3
0.05419,1.7278,0.64345,0.99612,0.13243,0.018619,1.6907,0.64964,1.041,0.1664,0.056289,1.695,0.64892,1.0385,0.11641,0.095536,1.6903,0.64969,1.0852,0.17403,0.033973,1.6897,0.6498,1.0789,0.21239,3
0.019967,1.6921,0.64941,1.0444,0.20326,0.036638,1.728,0.63604,0.82812,0.084396,0.026063,1.6904,0.64968,1.1675,0.23277,0.069852,1.6894,0.64984,1.053,0.14188,0.023585,1.6912,0.64954,1.1857,0.20884,3
0.022665,1.6964,0.64869,1.0571,0.20582,0.027411,1.7003,0.64803,0.97524,0.14489,0.031023,1.6933,0.64921,1.1308,0.23792,0.11187,1.6932,0.6492,1.0583,0.1507,0.031742,1.7055,0.64715,1.0412,0.18871,3
0.059644,1.7466,0.63293,0.93236,0.19491,0.017306,1.6935,0.64916,1.0849,0.15749,0.069304,1.7026,0.64765,1.0924,0.1107,0.082922,1.6889,0.64992,1.0282,0.12626,0.079032,1.6991,0.64822,1.2225,0.15358,3
0.029223,1.7003,0.64803,1.0511,0.1971,0.013466,1.6906,0.64966,1.0306,0.16685,0.063628,1.7087,0.64662,0.91049,0.16104,0.069666,1.6887,0.64995,1.0127,0.1294,0.063719,1.7276,0.64345,1.0269,0.17259,3
0.035567,1.7324,0.64264,0.95326,0.17078,0.015241,1.6908,0.64962,1.0362,0.15122,0.035202,1.6936,0.64915,0.8746,0.16694,0.085303,1.6918,0.64943,1.0249,0.12783,0.024891,1.6964,0.64869,0.96313,0.17622,3
0.033506,1.7004,0.64801,1.0304,0.14955,0.017118,1.6943,0.64904,1.0657,0.15729,0.068969,1.6887,0.63511,0.83741,0.14653,0.066699,1.6894,0.64984,1.0006,0.11574,0.030028,1.6924,0.64935,1.0681,0.17232,3
0.05324,1.7564,0.62053,1.02,0.17741,0.014123,1.7099,0.64642,1.0605,0.20686,0.06682,1.7174,0.64516,0.92119,0.10899,0.095735,1.7038,0.64742,1.0281,0.16642,0.034862,1.7114,0.64616,0.97807,0.15435,3
